Member_number,Date,productId,items,productName,price,Category
1808,2015-07-21,1,3,tropical fruit,7.8,Fresh Food
2552,2015-01-05,2,1,whole milk,1.8,Dairy
2300,2015-09-19,3,3,pip fruit,3.0,Fresh Food
1187,2015-12-12,4,3,other vegetables,0.8,Fresh Food
3037,2015-02-01,2,1,whole milk,1.8,Dairy
4941,2015-02-14,5,1,rolls/buns,1.2,Bakery & Sweets
4501,2015-05-08,4,3,other vegetables,0.8,Fresh Food
3803,2015-12-23,6,2,pot plants,3.5,Household & Hygiene
2762,2015-03-20,2,3,whole milk,1.8,Dairy
4119,2015-02-12,1,3,tropical fruit,7.8,Fresh Food
1340,2015-02-24,7,3,citrus fruit,1.5,Fresh Food
2193,2015-04-14,8,3,beef,19.5,Fresh Food
1997,2015-07-21,9,1,frankfurter,5.5,Fresh Food
4546,2015-09-03,10,3,chicken,7.2,Fresh Food
4736,2015-07-21,11,2,butter,3.2,Dairy
1959,2015-03-30,12,1,fruit/vegetable juice,2.1,Beverages
1974,2015-05-03,13,2,packaged fruit/vegetables,3.5,Fresh Food
2421,2015-09-02,14,2,chocolate,11.5,Bakery & Sweets
1513,2015-08-03,15,2,specialty bar,5.2,Bakery & Sweets
1905,2015-07-07,4,2,other vegetables,0.8,Fresh Food
2810,2015-09-08,16,1,butter milk,6.1,Dairy
2867,2015-11-12,2,1,whole milk,1.8,Dairy
3962,2015-09-18,1,2,tropical fruit,7.8,Fresh Food
1088,2015-11-30,1,2,tropical fruit,7.8,Fresh Food
4976,2015-07-17,17,1,bottled water,0.5,Beverages
4056,2015-06-12,18,1,yogurt,2.2,Dairy
3611,2015-02-13,19,1,sausage,3.1,Fresh Food
1420,2015-01-14,4,3,other vegetables,0.8,Fresh Food
4286,2015-03-08,20,3,brown bread,0.8,Bakery & Sweets
4918,2015-01-27,18,3,yogurt,2.2,Dairy
4783,2015-10-22,21,2,hamburger meat,12.3,Fresh Food
3709,2015-10-26,22,3,root vegetables,1.8,Fresh Food
4289,2015-10-08,23,2,pork,7.2,Fresh Food
1559,2015-10-03,8,2,beef,19.5,Fresh Food
2900,2015-04-11,24,3,pastry,3.1,Bakery & Sweets
1905,2015-02-21,12,2,fruit/vegetable juice,2.1,Beverages
3527,2015-09-29,25,3,canned beer,1.1,Beverages
1495,2015-01-09,22,3,root vegetables,1.8,Fresh Food
3558,2015-04-03,7,1,citrus fruit,1.5,Fresh Food
3128,2015-04-20,19,3,sausage,3.1,Fresh Food
1863,2015-08-04,1,1,tropical fruit,7.8,Fresh Food
3841,2015-07-19,26,3,berries,10.8,Fresh Food
3903,2015-10-06,25,3,canned beer,1.1,Beverages
2658,2015-10-16,16,1,butter milk,6.1,Dairy
4272,2015-06-06,27,1,coffee,8.5,Beverages
1120,2015-09-26,24,3,pastry,3.1,Bakery & Sweets
2676,2015-08-15,5,2,rolls/buns,1.2,Bakery & Sweets
1697,2015-05-21,28,1,misc. beverages,1.2,Beverages
2507,2015-08-25,22,2,root vegetables,1.8,Fresh Food
4620,2015-03-11,19,2,sausage,3.1,Fresh Food
3365,2015-02-01,25,2,canned beer,1.1,Beverages
2978,2015-06-05,29,1,ham,15.2,Fresh Food
2910,2015-07-28,30,2,turkey,12.5,Fresh Food
1061,2015-09-05,2,1,whole milk,1.8,Dairy
3276,2015-04-03,2,2,whole milk,1.8,Dairy
1326,2015-06-19,13,3,packaged fruit/vegetables,3.5,Fresh Food
3023,2015-07-28,5,3,rolls/buns,1.2,Bakery & Sweets
2185,2015-10-11,29,1,ham,15.2,Fresh Food
3552,2015-06-16,5,3,rolls/buns,1.2,Bakery & Sweets
1967,2015-01-20,4,3,other vegetables,0.8,Fresh Food
4708,2015-03-20,19,2,sausage,3.1,Fresh Food
2874,2015-02-15,19,1,sausage,3.1,Fresh Food
4177,2015-04-13,9,2,frankfurter,5.5,Fresh Food
1663,2015-02-07,5,2,rolls/buns,1.2,Bakery & Sweets
2632,2015-03-02,2,2,whole milk,1.8,Dairy
1377,2015-03-14,31,2,curd cheese,9.2,Dairy
4162,2015-12-22,32,2,red/blush wine,12.2,Beverages
2270,2015-07-01,19,2,sausage,3.1,Fresh Food
4829,2015-11-03,1,2,tropical fruit,7.8,Fresh Food
3811,2015-04-14,32,1,red/blush wine,12.2,Beverages
4766,2015-09-29,2,3,whole milk,1.8,Dairy
2436,2015-04-12,9,2,frankfurter,5.5,Fresh Food
3860,2015-05-05,2,2,whole milk,1.8,Dairy
4875,2015-05-12,33,2,frozen potato products,3.0,Frozen & Processed Food
1587,2015-07-01,4,2,other vegetables,0.8,Fresh Food
4038,2015-07-08,7,2,citrus fruit,1.5,Fresh Food
4750,2015-09-21,34,2,flour,2.1,Pantry Staples
1199,2015-12-10,35,3,sugar,1.2,Bakery & Sweets
1603,2015-09-30,36,3,frozen meals,9.7,Frozen & Processed Food
3111,2015-01-31,14,2,chocolate,11.5,Bakery & Sweets
3894,2015-12-13,22,3,root vegetables,1.8,Fresh Food
1456,2015-09-18,22,1,root vegetables,1.8,Fresh Food
2022,2015-03-04,37,2,herbs,6.5,Fresh Food
2505,2015-11-30,17,1,bottled water,0.5,Beverages
4851,2015-12-20,19,1,sausage,3.1,Fresh Food
4293,2015-08-04,27,2,coffee,8.5,Beverages
2775,2015-11-06,23,3,pork,7.2,Fresh Food
3693,2015-02-18,26,1,berries,10.8,Fresh Food
1202,2015-07-22,38,2,soda,0.8,Beverages
3699,2015-08-23,26,1,berries,10.8,Fresh Food
4152,2015-04-15,12,1,fruit/vegetable juice,2.1,Beverages
4155,2015-01-26,7,1,citrus fruit,1.5,Fresh Food
4010,2015-12-29,23,1,pork,7.2,Fresh Food
4389,2015-10-20,39,3,detergent,5.5,Household & Hygiene
3746,2015-08-17,40,1,grapes,9.4,Fresh Food
2560,2015-05-17,19,1,sausage,3.1,Fresh Food
1503,2015-07-25,10,1,chicken,7.2,Fresh Food
2555,2015-12-23,2,3,whole milk,1.8,Dairy
3645,2015-12-12,7,1,citrus fruit,1.5,Fresh Food
3886,2015-09-11,38,1,soda,0.8,Beverages
2932,2015-03-20,19,3,sausage,3.1,Fresh Food
1711,2015-06-18,9,3,frankfurter,5.5,Fresh Food
4291,2015-12-08,19,3,sausage,3.1,Fresh Food
1143,2015-04-25,38,1,soda,0.8,Beverages
4564,2015-07-08,5,3,rolls/buns,1.2,Bakery & Sweets
3337,2015-05-14,8,3,beef,19.5,Fresh Food
4931,2015-05-04,2,1,whole milk,1.8,Dairy
2623,2015-10-10,41,3,processed cheese,6.4,Dairy
4581,2015-04-03,1,1,tropical fruit,7.8,Fresh Food
2635,2015-06-11,9,2,frankfurter,5.5,Fresh Food
1095,2015-10-30,13,3,packaged fruit/vegetables,3.5,Fresh Food
2990,2015-05-23,2,2,whole milk,1.8,Dairy
2426,2015-06-05,26,1,berries,10.8,Fresh Food
4555,2015-11-07,7,3,citrus fruit,1.5,Fresh Food
3635,2015-09-04,1,1,tropical fruit,7.8,Fresh Food
3058,2015-05-18,21,2,hamburger meat,12.3,Fresh Food
4391,2015-03-26,21,1,hamburger meat,12.3,Fresh Food
1306,2015-06-23,2,3,whole milk,1.8,Dairy
1024,2015-08-10,42,3,fish,10.2,Fresh Food
1295,2015-07-23,9,2,frankfurter,5.5,Fresh Food
1661,2015-06-01,13,1,packaged fruit/vegetables,3.5,Fresh Food
4591,2015-05-15,24,3,pastry,3.1,Bakery & Sweets
3169,2015-06-14,4,2,other vegetables,0.8,Fresh Food
3915,2015-05-21,28,3,misc. beverages,1.2,Beverages
1127,2015-01-14,9,3,frankfurter,5.5,Fresh Food
4828,2015-08-08,43,1,sparkling wine,12.5,Beverages
3683,2015-06-10,15,3,specialty bar,5.2,Bakery & Sweets
1971,2015-09-18,19,1,sausage,3.1,Fresh Food
3014,2015-11-11,31,3,curd cheese,9.2,Dairy
